Symbol,time,Date,Open,High,Low,Close,Volume,SMA_HIGH,SMA_LOW,SSL_COLOUR,SSL_SWITCH,ATR,RED_CANDLE,VOLUME_REQ,PRICE_REQ,BASELINE_REQ,TRADE_ENTRY,TRADE_RESULT,PERCENT_CHANGE
UPWK,09:30:00,2020-04-07 09:30:00,6.31,6.62,6.28,6.49,267403,5.968000000001111,5.8450000000018045,GREEN,NO,3.800714285714287,NO,YES,YES,YES,YES,TIE,-2.311248073959944
URBN,09:30:00,2020-04-06 09:30:00,13.44,14.15,13.39,14.1,100977,12.760000000001119,12.5705000000018,GREEN,NO,3.9321428571428565,NO,YES,YES,YES,YES,TIE,8.865248226950355
USCR,09:30:00,2020-04-07 09:30:00,16.8,17.5,15.86,17.04,285341,16.387000000001127,16.037500000001813,GREEN,NO,1.672857142857143,NO,YES,YES,YES,YES,WIN,4.908618376928237
UXIN,09:30:00,2020-04-06 09:30:00,1.54,1.75,1.48,1.59,130370,1.5420000000011167,1.511000000001792,GREEN,NO,13.032857142857141,NO,YES,YES,YES,YES,TIE,-1.8867924528301903
VBIV,09:30:00,2020-04-06 09:30:00,1.0,1.03,1.0,1.01,146547,0.9465000000011174,0.7970000000017919,GREEN,NO,10.705,NO,YES,YES,YES,YES,TIE,-90.0990099009901
VECO,09:30:00,2020-04-06 09:30:00,8.8,9.27,8.72,9.2,16453,8.285500000001129,8.15650000000184,GREEN,NO,6.987857142857143,NO,YES,YES,YES,YES,TIE,4.021739130434794
VERI,09:30:00,2020-04-06 09:30:00,2.35,2.61,2.3,2.48,126071,2.154500000001125,2.110500000001844,GREEN,NO,1.91,NO,YES,YES,YES,YES,TIE,12.903225806451607
VERI,09:30:00,2020-04-07 09:30:00,2.89,2.97,2.89,2.91,38912,2.9515000000011264,2.7150000000018446,GREEN,NO,1.8685714285714283,NO,YES,YES,YES,YES,LOSS,16.05301914580265
VGIT,09:30:00,2020-04-02 09:30:00,70.53,70.7,70.53,70.53,35117,70.53300000000115,70.47900000000185,GREEN,NO,4.9449999999999985,NO,YES,YES,YES,YES,TIE,-0.15596200198497012
VIAC,09:30:00,2020-04-06 09:30:00,13.27,13.92,13.12,13.57,997793,12.40250000000126,12.169000000001867,GREEN,NO,8.85357142857143,NO,YES,YES,YES,YES,TIE,2.7266028002947618
VIAC,09:30:00,2020-04-07 09:30:00,14.63,15.79,14.1,15.75,1822272,13.934000000001266,13.471000000001869,GREEN,NO,8.958571428571428,NO,YES,YES,YES,YES,TIE,-6.6666666666666705
VICR,09:30:00,2020-04-03 09:30:00,41.38,41.61,40.75,41.61,3455,40.80750000000125,40.46150000000186,GREEN,NO,3.3628571428571425,NO,YES,YES,YES,YES,LOSS,2.0204621141895833
VIOT,09:30:00,2020-04-06 09:30:00,4.8,4.88,4.71,4.82,39283,4.673500000001249,4.637500000001876,GREEN,NO,8.45142857142857,NO,YES,YES,YES,YES,TIE,1.6597510373443998
VIOT,09:30:00,2020-04-07 09:30:00,4.9,5.1,4.9,5.1,65447,4.9070000000012515,4.878500000001874,GREEN,NO,8.458571428571428,NO,YES,YES,YES,YES,TIE,-0.9803921568627416
VIVE,09:30:00,2020-04-06 09:30:00,0.63,0.7,0.63,0.65,46020,0.6115000000012581,0.5980000000019016,GREEN,NO,3.0014571428571424,NO,YES,YES,YES,YES,TIE,6.153846153846142
VNOM,09:30:00,2020-04-02 09:30:00,7.2,7.48,7.14,7.4,33927,6.600000000001343,6.487000000001961,GREEN,NO,4.575000000000001,NO,YES,YES,YES,YES,TIE,7.837837837837839
VNQI,09:30:00,2020-04-06 09:30:00,41.36,41.72,41.36,41.66,70104,40.50300000000133,40.36150000000196,GREEN,NO,3.75,NO,YES,YES,YES,YES,TIE,0.33605376860297786
VRA,09:30:00,2020-04-06 09:30:00,3.44,3.8,3.43,3.67,13934,3.2270000000015022,3.170000000002009,GREEN,NO,23.149285714285718,NO,YES,YES,YES,YES,TIE,-3.814713896457769
VRSK,09:30:00,2020-04-06 09:30:00,146.3,148.11,145.74,146.89,55943,140.62700000000163,139.64000000000203,GREEN,NO,14.28571428571429,NO,YES,YES,YES,YES,TIE,0.5786643066240199
VRTX,09:30:00,2020-04-03 09:30:00,241.38,247.45,239.74,242.35,98149,236.56150000000184,234.489000000002,GREEN,NO,31.947142857142854,NO,YES,YES,YES,YES,LOSS,3.2955583718942494
VTIP,09:30:00,2020-04-03 09:30:00,49.34,49.44,49.34,49.43,45589,49.179500000001795,49.15350000000201,GREEN,NO,23.86,NO,YES,YES,YES,YES,TIE,-0.1618450333805347
VUZI,09:30:00,2020-04-03 09:30:00,1.29,1.35,1.27,1.35,36827,1.3105000000016482,1.2875000000020391,GREEN,NO,15.297142857142855,NO,YES,YES,YES,YES,TIE,-3.703703703703707
VUZI,09:30:00,2020-04-07 09:30:00,1.42,1.49,1.42,1.47,47483,1.4135000000016482,1.3970000000020388,GREEN,NO,15.299285714285713,NO,YES,YES,YES,YES,TIE,4.761904761904766
VYMI,09:30:00,2020-04-07 09:30:00,47.23,47.6,47.04,47.26,22813,45.78800000000168,45.58800000000202,GREEN,NO,8.429285714285713,NO,YES,YES,YES,YES,TIE,-2.4756665256030357
WDC,09:30:00,2020-04-06 09:30:00,40.26,41.86,40.26,41.79,580097,38.30550000000166,37.69800000000202,GREEN,NO,15.125000000000005,NO,YES,YES,YES,YES,TIE,3.589375448671931
WEN,09:30:00,2020-04-06 09:30:00,13.72,14.28,13.53,14.24,557346,12.885500000001695,12.618500000002012,GREEN,NO,31.73714285714286,NO,YES,YES,YES,YES,TIE,1.404494382022467
